indice_tiempo,medio_de_transporte,pais_origen,viajes_de_turistas_no_residentes
2011-04-01,Fluvial/Marítima,Uruguay,44144
2011-04-01,Fluvial/Marítima,EE.UU. y Canadá,3228
2011-04-01,Fluvial/Marítima,Resto de América,6751
2011-04-01,Fluvial/Marítima,Europa,7234
2011-04-01,Fluvial/Marítima,Resto del mundo,1356
2011-04-01,Terrestre,Bolivia,12522
2011-04-01,Terrestre,Brasil,36802
2011-04-01,Terrestre,Chile,61817
2011-04-01,Terrestre,Paraguay,47433
2011-04-01,Terrestre,Uruguay,31927
2011-04-01,Terrestre,EE.UU. y Canadá,4062
2011-04-01,Terrestre,Resto de América,10416
2011-04-01,Terrestre,Europa,20930
2011-04-01,Terrestre,Resto del mundo,7594
2011-05-01,Aérea,Bolivia,3799
2011-05-01,Aérea,Brasil,73760
2011-05-01,Aérea,Chile,23130
2011-05-01,Aérea,Paraguay,6047
2011-05-01,Aérea,Uruguay,6204
2011-05-01,Aérea,EE.UU. y Canadá,22514
2011-05-01,Aérea,Resto de América,28385
2011-05-01,Aérea,Europa,42298
2011-05-01,Aérea,Resto del mundo,10525
2011-05-01,Fluvial/Marítima,Bolivia,3101
2011-05-01,Fluvial/Marítima,Brasil,7527
2011-05-01,Fluvial/Marítima,Chile,789
2011-05-01,Fluvial/Marítima,Paraguay,5347
2011-05-01,Fluvial/Marítima,Uruguay,30946
2011-05-01,Fluvial/Marítima,EE.UU. y Canadá,2537
2011-05-01,Fluvial/Marítima,Resto de América,4978
2011-05-01,Fluvial/Marítima,Europa,4462
2011-05-01,Fluvial/Marítima,Resto del mundo,1141
2011-05-01,Terrestre,Bolivia,13962
2011-05-01,Terrestre,Brasil,27688
2011-05-01,Terrestre,Chile,46199
2011-05-01,Terrestre,Paraguay,40233
2011-05-01,Terrestre,Uruguay,20340
2011-05-01,Terrestre,EE.UU. y Canadá,2327
2011-05-01,Terrestre,Resto de América,8920
2011-05-01,Terrestre,Europa,12252
2011-05-01,Terrestre,Resto del mundo,4706
2011-06-01,Aérea,Bolivia,3515
2011-06-01,Aérea,Brasil,63197
2011-06-01,Aérea,Chile,17316
2011-06-01,Aérea,Paraguay,3918
2011-06-01,Aérea,Uruguay,4335
2011-06-01,Aérea,EE.UU. y Canadá,19513
2011-06-01,Aérea,Resto de América,23120
2011-06-01,Aérea,Europa,28224
2011-06-01,Aérea,Resto del mundo,8090
2011-06-01,Fluvial/Marítima,Bolivia,2982
2011-06-01,Fluvial/Marítima,Brasil,7893
2011-06-01,Fluvial/Marítima,Chile,527
2011-06-01,Fluvial/Marítima,Paraguay,4775
2011-06-01,Fluvial/Marítima,Uruguay,32168
2011-06-01,Fluvial/Marítima,EE.UU. y Canadá,2155
2011-06-01,Fluvial/Marítima,Resto de América,4574
2011-06-01,Fluvial/Marítima,Europa,3514
2011-06-01,Fluvial/Marítima,Resto del mundo,984
2011-06-01,Terrestre,Bolivia,14254
2011-06-01,Terrestre,Brasil,24651
2011-06-01,Terrestre,Chile,26807
2011-06-01,Terrestre,Paraguay,35141
2011-06-01,Terrestre,Uruguay,14989
